"X14_Staff_Training","X12_Staff_Numbers","X15_Current_Budget","X16_Security_of_Budget","X20_Education_and_Awareness_Program","X17_Management_of_Budget","X23_Local_Communities","X24_Visitor_Facilities","X25_Commercial_Tourism","X26_Fees"
"2","2","2","2","2","2","1","1","2",2
"2","2","2","2","2","2","1","2","2",3
"2","1","1","1","0","1","0","0","0",2
"1","2","1","2","1","1","0","1","0",2
"0","0","0","0","0","0","0","0","0",0
"1","2","1","1","2","2","1","0","0",1
"0","0","0","0","0","0","0","0","0",0
"0","0","0","0","0","0","0","0","0",0
"1","2","1","1","2","2","0","2","1",1
"2","2","1","1","2","2","0","1","1",2
"2","1","1","1","0","1","0","0","0",0
"2","1","1","0","2","2","0","0","3",1
"1","1","1","2","1","2","1","2","2",2
"1","1","1","0","0","2","0","0","0",0
"2","2","2","2","2","2","0","3","0",2
"1","2","1","2","1","2","2","0","1",0
"1","2","1","2","1","2","1","0","1",1
"2","1","1","2","1","2","2","1","2",0
"2","2","2","2","1","1","2","2","2",1
"2","2","2","1","2","3","1","1","3",3
"2","1","1","2","1","2","2","1","1",3
"2","1","1","1","2","2","2","1","1",3
"2","1","1","3","3","2","2","2","2",3
"2","2","1","1","1","2","1","1","1",0
"2","1","1","3","1","1","2","2","3",1
"2","2","2","1","2","1","1","1","2",3
"1","2","0","0","1","2","1","2","1",0
"1","2","1","1","1","1","1","1","3",2
"2","2","2","2","1","2","2","2","3",2
"2","2","2","2","2","3","1","3","3",3
"0","1","2","2","2","2","2","2","2",2
"2","2","1","1","2","1","2","0","1",0
"1","1","1","0","1","1","1","1","1",0
"1","1","1","1","2","2","1","2","1",1
"1","1","1","1","1","1","1","2","0",0
"2","2","2","2","2","2","1","2","3",0
"2","2","1","2","3","2","2","2","1",0
"2","2","1","1","2","1","1","2","1",0
"2","3","2","1","2","2","1","3","2",0
"3","1","1","2","2","1","3","0","0",1
"2","3","1","2","3","1","1","2","1",0
"2","1","1","0","1","1","1","1","0",0
"2","2","2","2","1","2","3","0","1",0
"3","2","2","2","2","2","3","0","0",0
"2","1","2","2","0","2","2","0","0",0
"3","2","2","2","2","2","3","0","0",0
"2","1","2","2","2","2","2","0","0",0
"3","2","2","2","2","2","3","0","0",0
"2","0","1","1","1","1","1","0","0",0
"1","1","1","2","2","1","1","2","2",1
"1","2","1","2","2","2","1","1","1",0
"2","2","2","2","2","2","2","2","2",2
"2","2","2","2","2","2","1","2","2",1
"1","1","2","2","2","2","2","2","2",2
"2","3","2","3","2","2","1","2","1",1
"1","2","2","2","2","2","1","1","0",1
"2","2","2","2","2","2","1","2","2",1
"2","1","2","1","2","1","1","0","1",0
"2","2","1","1","2","1","1","2","2",1
"1","1","1","1","0","1","1","1","1",1
"1","2","2","1","1","1","1","2","1",2
"2","1","2","2","2","2","0","1","0",1
"1","1","1","2","1","2","1","1","1",1
"1","1","1","1","2","1","2","2","2",1
"1","1","2","2","2","2","1","1","1",2
"1","1","2","2","1","2","1","2","1",1
"0","0","1","1","1","1","2","1","0",0
"1","1","1","1","1","2","1","1","0",0
